,시,구,위도,경도,인구수,매장수,사업체수,사업체종사자수
0,서울,강남구,37.514575,127.049555555555,550282,91,110007,801419
1,서울,강동구,37.5273666666666,127.125863888888,463318,17,41660,157465
2,서울,강북구,37.6369555555555,127.027719444444,292977,6,26385,80222
3,서울,강서구,37.5481555555555,126.851675,568826,28,58806,290473
4,서울,관악구,37.4753861111111,126.953844444444,497883,12,37915,128417
5,서울,광진구,37.5357388888888,127.084533333333,351180,19,33706,129707
6,서울,구로구,37.49265,126.889597222222,415651,15,52791,240689
7,서울,금천구,37.4491083333333,126.904197222222,241105,13,47964,255449
8,서울,노원구,37.6514611111111,127.058388888888,502925,14,37909,133398
9,서울,도봉구,37.6658333333333,127.049522222222,309494,7,25391,79097
10,서울,동대문구,37.571625,127.042141666666,359873,13,42813,146383
11,서울,동작구,37.5096555555555,126.941575,389714,11,27915,109281
12,서울,마포구,37.5607055555555,126.910530555555,375162,37,56782,279788
13,서울,서대문구,37.5763666666666,126.938897222222,320629,21,28522,118256
14,서울,서초구,37.4807861111111,127.034811111111,412078,48,71958,487976
15,서울,성동구,37.5606111111111,127.039,284766,14,41665,203221
16,서울,성북구,37.5863833333333,127.020333333333,438168,16,34712,124004
17,서울,송파구,37.5117555555555,127.107930555555,660025,37,74531,400781
18,서울,양천구,37.5142305555555,126.868708333333,439252,17,37929,133776
19,서울,영등포구,37.5236111111111,126.898341666666,397800,41,74562,435017
20,서울,용산구,37.5360944444444,126.967522222222,227106,24,29680,152605
21,서울,은평구,37.5999694444444,126.931241666666,470869,14,36509,109031
22,서울,종로구,37.5703777777777,126.981641666666,150453,39,48361,275063
23,서울,중구,37.5610027777777,126.999641666666,131793,52,70308,386564
24,서울,중랑구,37.6038055555555,127.094777777777,387470,8,39310,113144
