,docity,do,city,longitude,latitude
0,서울강남구,서울,강남구,127.049555555555,37.514575
1,서울강동구,서울,강동구,127.125863888888,37.5273666666666
2,서울강북구,서울,강북구,127.027719444444,37.6369555555555
3,서울강서구,서울,강서구,126.851675,37.5481555555555
4,서울관악구,서울,관악구,126.953844444444,37.4753861111111
5,서울광진구,서울,광진구,127.084533333333,37.5357388888888
6,서울구로구,서울,구로구,126.889597222222,37.49265
7,서울금천구,서울,금천구,126.904197222222,37.4491083333333
8,서울노원구,서울,노원구,127.058388888888,37.6514611111111
9,서울도봉구,서울,도봉구,127.049522222222,37.6658333333333
10,서울동대문구,서울,동대문구,127.042141666666,37.571625
11,서울동작구,서울,동작구,126.941575,37.5096555555555
12,서울마포구,서울,마포구,126.910530555555,37.5607055555555
13,서울서대문구,서울,서대문구,126.938897222222,37.5763666666666
14,서울서초구,서울,서초구,127.034811111111,37.4807861111111
15,서울성동구,서울,성동구,127.039,37.5606111111111
16,서울성북구,서울,성북구,127.020333333333,37.5863833333333
17,서울송파구,서울,송파구,127.107930555555,37.5117555555555
18,서울양천구,서울,양천구,126.868708333333,37.5142305555555
19,서울영등포구,서울,영등포구,126.898341666666,37.5236111111111
20,서울용산구,서울,용산구,126.967522222222,37.5360944444444
21,서울은평구,서울,은평구,126.931241666666,37.5999694444444
22,서울종로구,서울,종로구,126.981641666666,37.5703777777777
23,서울중구,서울,중구,126.999641666666,37.5610027777777
24,서울중랑구,서울,중랑구,127.094777777777,37.6038055555555
